fid_1,fid,ID,Material,Depth,Diameter,Cover type,Condition,pipe material,Pipe diameter,no of connnections,x,y
1,0,"503",Concrete ,,1.2 m,Concrete ,Inaccessible ,PVC,8 inch ,,74.8370070200,12.8606979300
2,1,"201",Concrete,1.15m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8421297885,12.8465406834
3,2,"202",Concrete,1.5m,"1.2",Concrete ,moderate,Pvc,8 inch,"3",74.8419646313,12.8467610482
4,3,"203",Brick,"2.85","1.2",Concrete ,Moderate,Pvc,8 inch,"3",74.8420462994,12.8468069172
5,4,"204",Concrete,"2.7","1.2",Concrete ,Good,Pvc,8 inch,"2",74.8420696517,12.8469823408
6,5,"205",Concrete,"2.66","1.2",Concrete ,Good,Pvc,8 inch,"3",74.8420560655,12.8471389438
7,6,"206",Concrete,2.6m,"1.2",Concrete ,Good,Pvc,8 inch,,74.8420830208,12.8473759565
8,7,"233",Concrete,,"1.2",Concrete ,Poor ,Pvc,8 inch,,74.8418171806,12.8469515160
9,8,"234",Concrete,,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8416935142,12.8472057050
10,9,"235",Concrete,,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8414887937,12.8473221291
11,10,"236",Concrete,,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8412943498,12.8474381812
12,11,"207",Concrete,"2.07","1.2",Concrete ,Poor,Pvc,8 inch,,74.8421617832,12.8476485947
13,12,"208",Concrete,"2.05","1.2",Concrete ,Good,Pvc,8 inch,"1",74.8421465218,12.8478419945
14,13,"209",Concrete,"1.75","1.2",Concrete ,Good,Pvc,8 inch,"1",74.8421343565,12.8480274283
15,14,"210",Concrete,1.9 m,"1.2",Concrete ,Good,Pvc,8 inch,"3",74.8421282141,12.8482587088
16,15,"211",Concrete,"2","1.2",Concrete ,Good,Pvc,8 inch,"4",74.8421251844,12.8484607024
17,16,"212",Concrete,1.8 m,"1.2",Concrete ,Good,Pvc,8 inch,"4",74.8421319310,12.8486653411
18,17,"213",Concrete,1.8 m,"1.2",Concrete ,Good,Pvc,8 inch,"1",74.8421129189,12.8487733182
19,18,"214",Concrete,2m,"1.2",Concrete ,Good,Pvc,8 inch,"4",74.8421041669,12.8488978720
20,19,"215",Concrete,1.75m,"1.2",Concrete ,Poor,Pvc,8 inch,"1",74.8421346504,12.8490482295
21,20,"216",Concrete,"1.87","1.2",Concrete ,Moderate ,Pvc,8 inch,,74.8421334801,12.8491417769
22,21,"217",Concrete,1.9m,"1.2",Concrete ,Moderate ,Pvc,8 inch,,74.8421430949,12.8492212385
23,22,"218",Concrete,1.95m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8421509443,12.8493901362
24,23,"237",Concrete,,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8410322205,12.8475680001
25,24,"238",Concrete,1.7m,"1.2",Concrete ,Good,Pvc,8 inch,"2",74.8409467130,12.8476402200
26,25,"239",Concrete,,"1.2",Concrete ,Non openable,Pvc,8 inch,,74.8406810006,12.8477935438
27,26,"240",Concrete,1.6m,"1.2",Concrete ,Good,Pvc,8 inch,,74.8404675817,12.8479695656
28,27,"241",Concrete,1.6m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8402002240,12.8481864645
29,28,"242",Concrete,,"1.2",Concrete ,Non openable ,Pvc,8 inch,,74.8399983085,12.8482043699
30,29,"243",Concrete,1.5m,"1.2",Concrete ,Good,Pvc,8 inch,"2",74.8397398797,12.8482531476
31,30,"244",Concrete,1.55m,"1.2",Concrete ,Good,Pvc,8 inch,"2",74.8396095311,12.8482414635
32,31,"245",Concrete,1.6 m,"1.2",Concrete ,Good,Pvc,8 inch,"1",74.8394974386,12.8482648495
33,32,"246",Concrete,1.6m,"1.2",Concrete ,Non openable ,Pvc,8 inch,,74.8392264417,12.8482195508
34,33,"247",Brick,1.5m,"1.2",Concrete ,Good,Pvc,8 inch,"2",74.8391242754,12.8482027470
35,34,"248",Concrete,,"1.2",Concrete ,Non openable ,Pvc,8 inch,,74.8389936203,12.8481913781
36,35,"249",Concrete,1.5m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8388374827,12.8481679341
37,36,"250",Concrete,,"1.2",Concrete ,,Pvc,8 inch,,74.8385650338,12.8481183452
38,37,"219",Concrete,2m,"1.2",Concrete ,Moderate ,Pvc,8 inch,,74.8421524252,12.8494857186
39,38,"220",Concrete,,"1.2",Concrete ,Non openable ,Pvc,8 inch,,74.8421426333,12.8495921744
40,39,"221",Concrete,2.4 m,"1.2",Concrete ,Moderate ,Pvc(junction flow perpendicu),8 inch,"3",74.8421401507,12.8497347197
41,40,"222",Brick,2.3m,"1.2",Concrete ,Moderate ,Pvc,8 inch,"4",74.8419257025,12.8497089635
42,41,"223",Brick,2.5 m,"1.2",Concrete ,Moderate ,Pvc,8 inch,"2",74.8417864565,12.8496996457
43,42,"224",Concrete,"2.95","1.2",Metal,Poor,Pvc,8 inch,"2",74.8415563208,12.8496904712
44,43,"225",Concrete,"1.79","1.2",Concrete ,Poor,Pvc,8 inch,"4",74.8421306836,12.8499852580
45,44,"226",Concrete,"1.45","1.2",Concrete ,Poor,Pvc,8 inch,,74.8418378520,12.8499809269
46,45,"227",Concrete,1.75m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8417850260,12.8498489278
47,46,"228",Concrete,,"1.2",Concrete ,Non openable ,Pvc,8 inch,,74.8417103332,12.8497545693
48,47,"229",Concrete,"2.05","1.2",Concrete ,,Pvc,8 inch,,74.8411637449,12.8496457979
49,48,"230",Concrete,2.1m,"1.2",Concrete ,Poor,Pvc,8 inch,,74.8407599533,12.8496105906
50,49,"231",Concrete,1.75m,"1.2",Concrete ,Moderate ,Pvc,8 inch,,74.8408719280,12.8498397846
51,50,"301",Concrete,2m,1.2 m,Concrete ,Good,,,,74.8365526056,12.8617148227
52,51,"302",Concrete,2m,1.2 m,Concrete ,Good,Pvc,12 inch,"2",74.8362083257,12.8618074925
53,52,"303",Concrete,2.28 m,1.2 m,Concrete ,Good,Pvc,12 inch ,,74.8360545386,12.8618050855
54,53,"304",Concrete,,1.2 m,Concrete ,Inaccessible ,Pvc,12 inch ,,74.8357522827,12.8618164301
55,54,"305",Concrete,1.6m,1.2 m,Concrete ,Good ,Pvc,8  inch ,,74.8355725950,12.8618133033
56,56,"307",Concrete,2.18m,1.2 m,Concrete ,Good,Pvc,12  inch ,,74.8351377321,12.8617537955
