fid_1,fid,ID,U/S MH,D/S MH,Depth,Length,Latitude,Longitude
1,1,"1","1","2","1.88","22.75",12.6557356872354,4.3477839277134
2,2,"2","2","3","1.5","41.72",12.65545545261,4.3477952014498
3,3,"3","3","4","1.45","1.85",12.6552678836276,4.3477925586527
4,4,"4","4","5","1.67","24.64",12.6551594377582,4.34776741264521
5,5,"5","5","6","1.8","6.87",12.655068661348,4.34770767641438
6,6,"6","6","7","1.95","29.60",12.6550987003832,4.3475479546483
7,7,"7","7","8","1.76","15.828",12.6551267275384,4.34734603110619
8,8,"8","8","9","1.52","14.99",12.6551495649105,4.34720965221426
9,9,"9","9","10","1.67","27.70",12.6551867136972,4.34702178014803
10,10,"10","10","11","1.82","17.34",12.6552269146231,4.34682376403554
11,11,"11","11","12","1.82","15.13",12.6552552710156,4.34668083146688
12,12,"12","12","13","2.35","76.08",12.6553401426917,4.34628059051797
13,13,"13","13","14","2.9","31.51",12.6553927066723,4.34580685331442
14,14,"14","14","15","2.82","22.94",12.6553284575847,4.34557466591031
15,15,"15","15","16","3","51.73",12.6551786444735,4.34527662965907
16,16,"16","16","17","3.2","48.20",12.6550011219447,4.34486749298327
17,17,"17","18","17","1.5","8.77",12.6549411357513,4.34462719150321
18,18,"18","17","19","2.8","58.3",12.6548554955151,4.34441341680991
19,19,"19","19","20","2.5","85.73",12.6546870315833,4.34379027138093
20,20,"20","20","21","1.9","45.48",12.6545659932848,4.34321549832781
21,21,"21","21","22","1.75","14.56",12.6545340208913,4.34294788986138
22,22,"22","22","23","1.4","10.32",12.6545226783027,4.34283671141687
23,23,"23","23","24","1.05","12.57",12.654512477585,4.34273442724792
24,24,"24","24","25","1.5","48.22",12.6544805051822,4.34246346392317
25,25,"25","25","26","2.45","45.11",12.6544177760281,4.34204953720245
26,26,"26","26","27","2.4","9.54",12.654370578657,4.34180907968247
27,27,"27","27","28","2.7","31.63",12.6542235597193,4.3417951808522
28,28,"28","28","29","2.3","7.28",12.6540560850358,4.34182794923585
29,29,"29","29","30","1.8","21.16",12.6539330875717,4.34184862406245
30,30,"30","30","31","1.8","13.49",12.6537832643278,4.34187380933588
31,31,"31","31","32","1.6","11.07",12.6536776342879,4.34189456925052
32,32,"32","32","33","1.7","30.65",12.6534972634107,4.34192410598557
33,33,"33","33","34","1.7","77.51",12.6530772007701,4.34212873923717
34,34,"34","34","35","1.6","69.62",12.6524855791843,4.34233040786498
35,35,"35","35","36","1.6","49.12",12.6519692434689,4.34238561639802
36,36,"36","36","37","1.7","43.01",12.6515694835847,4.34243752893926
37,37,"38","38","39","1.12","24.547",12.6533516158461,4.34761350869292
38,38,"39","39","40","1","26.69",12.6532259454561,4.34754032639332
39,39,"40","40","41","1.1","11.59",12.6530668727943,4.34759468035474
40,40,"41","42","41","1.08","19.802",12.6529398337123,4.34764858865243
41,41,"42","41","43","1.1","10.71",12.653010903255,4.34756561635585
42,42,"43","43","44","1.25","12.75",12.6529922989962,4.34746198237025
43,43,"44","44","45","1.1","10.11",12.6529739289981,4.34736105151761
44,44,"45","45","46",".95","17.14",12.652952069452,4.3472407132452
45,45,"46","46","47",".95","19.95",12.6529486435043,4.34707603193549
46,46,"47","47","48",".95","7.27",12.6529587279189,4.34695436596476
47,47,"48","48","49","1.08","13.16",12.6529608791723,4.34686262834568
48,48,"49","49","50","1.3","15.54",12.6529604587214,4.34673385424544
49,49,"50","51","50","1.18","5.28",12.6529678250885,4.34664278616277
50,50,"51","52","51",".95","5.74",12.6530030901108,4.34662088617762
51,51,"52","50","53","1.13","13.56",12.6528989311739,4.34665516041497
52,52,"53","53","54","1.65","10.79",12.6527928737266,4.34664667001391
53,53,"54","54","55","1.65","23.09",12.6526448358672,4.34663780544758
54,54,"55","39","56",,"19.50",12.6533266373897,4.34741737381732
